Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Whistle Stop Saloon LLC,160701144,Altamont,5,2131400.42,1972407.5,158992.92,596012,437019.17,158992.83,47698.23,39748.53,7949.7
"WHIT'S END 51, INC.",130702139,Macon,5,1127946.01,1033967.28,93978.73,380666,286687.27,93978.73,28194.69,23495.61,4699.08
"Whit's of Decatur, Inc.",120711444,Decatur,5,3149731.52,2870247.44,279484.08,1010972,731487.92,279484.08,83845.97,69871.64,13974.33
"White County Post 3851, Veterans of Foreign Wars of the United States",140900494,Carmi,5,535757.95,492424.47,43333.48,146570,103236.52,43333.48,13000.21,10833.52,2166.69
WHITE EAGLE CLUB OF ROCKFORD,120702215,Rockford,5,2780633.35,2572158.56,208474.79,895146,686670.84,208475.16,62543.37,52119.48,10423.89
"White Horse Inn, Inc.",120703186,Moline,3,981541.82,888559.08,92982.74,312232,219249.26,92982.74,27895.26,23246.08,4649.18
WHITE HORSE TAVERN INC.,130705822,Quincy,3,2776668.55,2567554.95,209113.6,717876,508762.4,209113.6,62734.32,52278.61,10455.71
"White House Tavern, Inc.",180701050,Du Bois,5,88198.08,79254.61,8943.47,27169,18225.11,8943.89,2683.25,2236.04,447.21
"White Oak Tap, Inc.",120705358,Canton,5,7278160.72,6764061.95,514098.77,2079965,1565864.28,514100.72,154230.64,128525.56,25705.08
"White Top Inn, Inc.",120709419,St. Clair County,3,1146479.9,1055710.79,90769.11,482014,391244.89,90769.11,27230.96,22692.5,4538.46
Whitetails ...Fire Pit & Grill Company,120710676,Glasford,3,1454050.38,1353646.44,100403.94,420720,320316.13,100403.87,30121.38,25101.16,5020.22
"Whitey's Tip Top, Inc.",120705434,Peoria,5,2920491.94,2724006.64,196485.3,1050707,854221.6,196485.4,58946.15,49121.81,9824.34
"Whitlock Chiefs, Inc.",120704257,Gillespie,4,1262376.85,1155342.77,107034.08,395596,288561.92,107034.08,32111.09,26759.29,5351.8
"Whitlock Chiefs, Inc.",120704255,Litchfield,5,1963798.33,1803305.79,160492.54,616856,456363.63,160492.37,48148.45,40123.73,8024.72
"Whits End 48, Inc.",140701255,Taylorville,5,2100689.3,1915617.97,185071.33,661491,476419.22,185071.78,55522.33,46268.63,9253.7
Why Not LLC,160700382,Stewardson,2,2364,2735.86,-371.86,712,1083.86,-371.86,-111.55,-92.96,-18.59
Why Not LLC,170704161,Stewardson,3,3395.36,2635.88,759.48,1562,802.52,759.48,116.32,96.94,19.38
"WHY NOT STOP, LLC",140700975,Clifton,5,1207936.64,1113427.09,94509.55,450167,355657.56,94509.44,28353.18,23627.67,4725.51
"WICKED ANGELS, INC.",120705740,Kankakee,5,667549.68,606837.16,60712.52,248945,188232.48,60712.52,18214.29,15178.59,3035.7
WIGGLERS LLC,140703592,Madison County,5,3272182.82,3023405.68,248777.14,971172,722394.81,248777.19,74633.67,62194.74,12438.93
"WILCO FAST BREAK, INC.",150701437,Adams County,5,4674361.38,4308542.63,365818.75,1303954,938135.25,365818.75,109746.18,91455.16,18291.02
WILD CRAB BOIL LLC,170703987,Spring Grove,5,452.5,316.55,135.95,337,201.05,135.95,40.79,33.99,6.8
Wild Dog Saloon Incorporated,120705737,Decatur,5,2788377.9,2598812.94,189564.96,887409,697844.04,189564.96,56870.07,47391.73,9478.34
"WILD DREAMS, INC.",160702643,Harvard,5,3001656.9,2727857.88,273799.02,944061,670262.23,273798.77,82140.24,68450.2,13690.04
"WILD DREAMS, INC.",160703611,Cherry Valley,5,1600522.3,1466911.45,133610.85,575401,441790.15,133610.85,40083.8,33403.2,6680.6
"WILD HARE BAR AND GRILL, INC.",160703681,Fisher,4,2240377.92,2049251.81,191126.11,733553,542426.75,191126.25,57338.28,47781.93,9556.35
"Wild Horses Rockford,Inc",140702737,Cherry Valley,5,8001419.2,7416947.9,584471.3,2383414,1798942.7,584471.3,175342.09,146118.41,29223.68
Wild Life LLC,160700561,Long Creek,5,3156682.69,2925523.3,231159.39,1041720,810560.61,231159.39,69348.58,57790.5,11558.08
"WILD PICKINS, INC.",150700374,Macoupin County,3,311357.71,284817.78,26539.93,111106,84566.07,26539.93,7962.3,6635.27,1327.03
"WILD WILD WESTMOR LANES, LLC",130700967,Rockford,5,4121722.83,3788199.84,333522.99,1372459,1038935.01,333523.99,100057.52,83381.29,16676.23
"Wild Willie's, Inc.",120700146,Fairbury,5,1355043.53,1242818.39,112225.14,369582,257356.87,112225.13,33668.15,28056.81,5611.34
"Wild Willy's, Inc.",120701211,Brocton,5,1129155.17,1044686.58,84468.59,318471,234002.44,84468.56,25341.15,21117.63,4223.52
"Wild, Inc.",120712877,Collinsville,4,184642.3,169745.79,14896.51,57772,42875.11,14896.89,4469.38,3724.5,744.88
"WILDWOOD TAVERN, LLC",160701893,Niles,4,1037719.2,949551.17,88168.03,376578,288409.97,88168.03,26450.99,22042.52,4408.47
"Wiley-Mumford Post #764 of the American Legion, Inc.",150902847,Toledo,5,1297338.55,1197949.45,99389.1,395080,295690.83,99389.17,29817.2,24847.68,4969.52
"WILK'S, INC.",120708466,Streator,5,3161708.07,2903138.72,258569.35,983198,724628.65,258569.35,77571.46,64642.91,12928.55
Willa Simmons,120704790,McClure,4,1776665.33,1656471.44,120193.89,513121,392927.11,120193.89,36058.66,30048.91,6009.75
"Willard L. Velie Jr. Post No. 2153, Veterans of Foreign Wars of the United States, Inc.",120902253,Moline,3,549450.12,505458.95,43991.17,154155,110163.9,43991.1,13197.51,10997.95,2199.56
William A. Eastman,120705333,Dixon,5,2773055.55,2575002.19,198053.36,912091,714037.6,198053.4,59416.66,49513.89,9902.77
William Baldock,140700006,Vandalia,4,471089.84,436910.88,34178.96,127618,93439.04,34178.96,10254.16,8545.17,1708.99
"WILLIAM F. EARNEST, POST NO. 559",140900959,Champaign,5,1980882.35,1816465.72,164416.63,690135,525702.77,164432.23,49330.25,41108.57,8221.68
William J. Burton,120707439,Christian County,4,988133.12,903025.3,85107.82,318598,233490.01,85107.99,25532.89,21277.42,4255.47
WILLIAM JOHN OPSAHL,120700794,Rockford,5,5712581.2,5239147.44,473433.76,1769765,1296322.76,473442.24,142033.46,118361.24,23672.22
William Lee Mullarkey,130703211,Stephenson County,5,2627789.05,2387973.67,239815.38,937125,697279.84,239845.16,71953.98,59961.67,11992.31
William Macklin,130701229,Effingham County,5,3098936.74,2869998.45,228938.29,904528,675589.84,228938.16,68681.63,57234.71,11446.92
William Martin VFW Post 725,120911211,Mokena,5,4627656.89,4267485.03,360171.86,1398174,1038002.14,360171.86,108052.07,90043.42,18008.65
"William Schaefer Post No.44 American Legion, Department of Illinois",120902015,Pekin,4,800839.5,730690.52,70148.98,209869,139720.02,70148.98,21045.47,17537.89,3507.58
WILLIAM TALLMAN JR,130700262,Rockdale,3,766823.67,716949.96,49873.71,234042,184168.04,49873.96,14962.33,12468.62,2493.71
"William White Memorial Post 33 AMVETS, Inc",170900647,Palestine,3,232139.45,213261.43,18878.02,65693,46814.55,18878.45,5663.89,4719.92,943.97
William Worthen Inc.,120705731,Greenville,5,1716172.1,1569732.03,146440.07,507384,360943.93,146440.07,43932.6,36610.5,7322.1
"Williams Family, Inc.",150704085,Scott County,4,795519.35,738260.61,57258.74,265560,208301.26,57258.74,17177.89,14314.91,2862.98
Williams Street Corporation,160701570,Crystal Lake,3,958189.59,855579.36,102610.23,372518,269907.77,102610.23,30783.53,25652.95,5130.58
"WILLIAMS STREET VENTURES, INC.",160701324,Crystal Lake,3,2526999.68,2306752.03,220247.65,884664,664416.35,220247.65,66074.66,55062.24,11012.42
"Williamson Post 147, American Legion",120713101,Williamson County,5,2149461.59,1967386.16,182075.43,656718,474642.42,182075.58,54623.22,45519.37,9103.85
"WILLIAMSON TAVERN, INC.",120710056,Sterling,5,2241703.28,2043657.54,198045.74,721899,523853.26,198045.74,59414.48,49512.07,9902.41
"WILLIAMSON'S RESTAURANT AND BAR, INC.",160700521,New Lenox,5,2291297.72,2129099.11,162198.61,722413,560214.39,162198.61,48660.13,40550.14,8109.99
Willies West End Inc.,120711574,Waterloo,5,4471646.99,4045743.11,425903.88,1334063,908159.12,425903.88,127771.59,106476.33,21295.26
"WILLOW CROSSING OF WILLOW SPRINGS, INC.",160701232,Willow Springs,5,1851899.27,1709706.23,142193.04,529994,387801.09,142192.91,42658.75,35548.99,7109.76
"WILLOW SPRINGS FRIENDLY TAP, INC.",160700895,Willow Springs,5,3333120.74,3092915.31,240205.43,1056510,816304.42,240205.58,72062.25,60051.89,12010.36
"WILLY'S PUB, INC.",120701255,Dwight,5,2785203.31,2552243.6,232959.71,937136,704176.29,232959.71,69888.65,58240.53,11648.12
"Wilmington Lodge No. 241, Loyal Order of Moose",120806275,Wilmington (Will),5,2452995.82,2255999.89,196995.93,789897,592901.07,196995.93,59099.13,49249.3,9849.83
Wilson Liquor PB SJ LLC,170702135,Pulaski County,3,586538.8,537633.35,48905.45,155663,106757.55,48905.45,14672.02,12226.69,2445.33
"Wilson, Inc.",120712301,Carlinville,5,3936886.72,3641796.78,295089.94,1327791,1032701.06,295089.94,88527.46,73772.87,14754.59
"WIN QUEST, INC.",160702588,Quincy,3,1465056.05,1341496.71,123559.34,444939,321379.66,123559.34,37067.98,30890.01,6177.97
"Win Quest, Inc.",160704270,Quincy,2,515082.71,464965.77,50116.94,163119,113001.88,50117.12,15035.24,12529.35,2505.89
"Windhill Pancake Parlor, Inc.",130702877,McHenry,4,1504672.1,1406465.11,98206.99,458822,360615.01,98206.99,29462.79,24552.31,4910.48
"Windy City Promoters, Inc. ",120712058,Wood Dale,5,2791565.29,2566424.82,225140.47,719358,494195.43,225162.57,67549.55,56291.36,11258.19
Windy City Taverns LLC,150700720,Mokena,4,4109513.92,3792966.86,316547.06,1315090,998542.64,316547.36,94964.69,79137.25,15827.44
"WINE ON BROADWAY, INC.",150700581,Quincy,5,2668554.57,2468745.65,199808.92,750402,550593.08,199808.92,59943.22,49952.69,9990.53
"WINE ON BROADWAY, INC.",150704300,Quincy,5,4440941.82,4095848.9,345092.92,1221587,876494.25,345092.75,103528.24,86273.55,17254.69
"Winery One, Inc.",120711244,Decatur,5,4416138.76,4046996.72,369142.04,1534194,1165051.66,369142.34,110743.34,92286.12,18457.22
Winfall Enterprises Limited,170702872,Riverdale,5,30.24,72.64,-42.4,22,64.4,-42.4,-12.72,-10.6,-2.12
"Wing Enterprises, Inc.",120711740,Mundelein,5,6539726.08,5995353.67,544372.41,1909826,1365453.59,544372.41,163312.56,136093.85,27218.71
"Wings of Shiloh, Inc.",120709097,Shiloh,5,3962791.11,3646113.88,316677.23,1080245,763567.67,316677.33,95003.9,79169.93,15833.97
"WINGS OVER LINCOLN LAND, INC.",130701889,Springfield,5,2580739.74,2383765.37,196974.37,852325,655349.68,196975.32,59093.34,49244.44,9848.9
"WINN 2 OF MANTENO, INC.",150702926,Bradley,5,8911612.58,8237095.75,674516.83,2662823,1988306.31,674516.69,202355.65,168629.72,33725.93
Winnebago County Forest Preserve District,180700208,Winnebago County,5,18966.46,16702.5,2263.96,7268,5004.04,2263.96,679.26,566.05,113.21
Winnebago County Forest Preserve District,150700269,Rockton,5,103542.38,95046.52,8495.86,41152,32656.14,8495.86,2548.84,2124.06,424.78
Winnebago County Forest Preserve District,180700209,Machesney Park,5,18447.23,17396.84,1050.39,5803,4752.61,1050.39,315.11,262.58,52.53
"Winner$, LLC",150700522,Ottawa,5,3217609.59,2891374.98,326234.61,1036968,710733.45,326234.55,97871.01,81559.2,16311.81
"Winner's Circle & Associates, Inc.",120700143,Kane County,5,2703764.13,2477280.89,226483.24,803070,576586.94,226483.06,67946,56621.7,11324.3
Winner's Lounge Inc.,170700632,Quincy,5,6708028.3,6215302.57,492725.73,2154139,1661413.27,492725.73,147818.52,123182.14,24636.38
"WINNERS 50, LLC",130702188,South Elgin,5,3635992.47,3369657.97,266334.5,1176710,910375.49,266334.51,79900.78,66583.99,13316.79
"Winners Of Bloomington, Inc.",120700441,Bloomington,5,4333803.32,3966771.58,367031.74,1319462,952430.25,367031.75,110110.19,91758.51,18351.68
"Winnie's Caf?? of Bridgeview, LLC",130700741,Bridgeview,5,3702804.26,3412327.38,290476.88,1188618,898141.18,290476.82,87143.8,72619.85,14523.95
"Winnie's Cafe of Illinois, LLC",140701624,Manteno,5,4989516.66,4611155.97,378360.69,1519553,1141192.31,378360.69,113508.65,94590.57,18918.08
"WINTHROP HARBOR MEMORIAL POST NO. 7448 , VETERANS OF FOREIGN WARS OF THE UNITED STATES",120906838,Winthrop Harbor,5,4803310.76,4433562.13,369748.63,1517460,1147711.36,369748.64,110924.84,92437.37,18487.47
"Wise Guy's Sports Bar & Deli, LLC",120707516,Dixon,4,1021695.11,928075.14,93619.97,337764,244144.03,93619.97,28086.65,23405.56,4681.09
"Wish Enterprises, Inc.",130702485,Westmont,5,5283806.89,4807308.13,476498.76,1626181,1149682.54,476498.46,142950.1,119125.1,23825
WISHBONE INC.,120710856,Clinton,5,2105540.83,1952328.1,153212.73,685701,532488.18,153212.82,45964.58,38303.83,7660.75
WISPER VAPES LOUNGE & GAMING LLC,150703706,Chester,5,421473.12,380506.94,40966.18,122863,81896.87,40966.13,12289.96,10241.65,2048.31
Wisper Vapes Lounge & Gaming LLC,160701989,Sparta,5,1824785.39,1669319.75,155465.64,582326,426860.36,155465.64,46640.55,38867.12,7773.43
WISPER VAPES LOUNGE & GAMING LLC,170700695,Freeburg,5,3238684.24,2955882.13,282802.11,920550,637747.67,282802.33,84841.1,70700.95,14140.15
Witherow Inc.,130701458,Dixon,5,3131503.46,2889009.45,242494.01,904375,661881.17,242493.83,72748.7,60623.95,12124.75
"WML Enterprises, LLC",170701380,Beach Park,5,1381705.72,1248559.34,133146.38,471877,338730.37,133146.63,39944.18,33286.81,6657.37
"Wolf Creek Golf Club, LLC",120708321,Vermilion County,3,882803.09,829390.01,53413.08,228578,175164.92,53413.08,16024.1,13353.41,2670.69
"WOOD DALE EXPRESS, INC.",120706715,Wood Dale,5,7072638.72,6482706.27,589932.45,2651810,2061876.8,589933.2,176980.41,147483.69,29496.72
"Wood Inn, Inc.",120706184,Carthage,4,1062865.65,966887.42,95978.23,294989,199010.79,95978.21,28793.9,23994.94,4798.96
"Wood River Bakery, Inc.",120705211,Wood River,5,3859055.75,3530595.3,328460.45,1034980,706398.9,328581.1,98574.98,82145.84,16429.14
"Wood River Lodge No. 1349, Loyal Order of Moose",120800330,Wood River,5,3115632.67,2932889.08,182743.59,817450,634706.41,182743.59,54823.56,45686.33,9137.23
Wood River V.F.W. Post 2859,120903131,Wood River,5,2518767.38,2317374.58,201392.8,720858,519465.5,201392.5,60418.43,50348.72,10069.71
"Woodford Investments, Inc.",120702237,Kappa,5,1240865.93,1129823.94,111041.99,436324,325282.01,111041.99,33313.04,27760.9,5552.14
"WOODLANDS GOLF CLUB, INC.",170704231,Madison County,4,128342.32,112191.29,16151.03,51337,35185.47,16151.53,4845.58,4037.97,807.61
Woodlawn Bar Inc.,150701677,Jefferson County,5,2087176.09,1920056.12,167119.97,638313,471193.03,167119.97,50136.7,41780.61,8356.09
Woodridge Cafe Plus Inc.,170700960,Woodridge,4,934215.21,862187.94,72027.27,281276,209248.73,72027.27,21608.45,18007.06,3601.39
"WOODSTOCK HOTEL, INC.",150702529,Woodstock,5,1460220.8,1325149.12,135071.68,426526,291454.32,135071.68,40522.06,33768.4,6753.66
Woodstock Lodge No. 1329 Loyal Order of Moose,120811840,Woodstock,5,1713771.29,1567186.55,146584.74,653542,506957.26,146584.74,43975.94,36646.63,7329.31
"WOODSTOCK POST 5040 VETERANS OF FOREIGN WARS OF THE U.S.A., INC.",160903940,Woodstock,4,618975.67,560103.58,58872.09,195586,136713.91,58872.09,17661.91,14718.25,2943.66
Woody'z Pub & Grill LLC,140700765,Caseyville,4,1115049.3,1021741.56,93307.74,414453,321145.17,93307.83,27992.84,23327.38,4665.46
Woodz's G & Z Inc.,120706982,Kewanee,5,4802144.55,4491187.16,310957.39,1509415,1198457.67,310957.33,93287.83,77739.89,15547.94
Woppers Inc.,120703334,Elmwood,4,1896107.67,1747837.29,148270.38,606608,458337.56,148270.44,44481.73,37068.13,7413.6
Wortman Holdings LLC,171004251,Altamont,5,996784.33,912481.14,84303.19,309283,224979.24,84303.76,25291.41,21076.17,4215.24
"Wortman Holdings, LLC",170704202,Greenville,5,1667903.19,1543564.47,124338.72,517587,393248.28,124338.72,37301.93,31084.96,6216.97
"Wortman Holdings, LLC",161001890,Vandalia,5,9494748.98,8808130.28,686618.7,2836021,2149395.77,686625.23,205988.34,171656.97,34331.37
"WORTMAN-KELLER DEVELOPMENT, LLC",141003882,Effingham,5,11080029.54,10234075.62,845953.92,3299307,2453325.82,845981.18,253795.12,211495.96,42299.16
"WORTMAN-KELLER DEVELOPMENT, LLC",121002070,Farina,5,8839328.9,8167047.51,672281.39,2428090,1755808.55,672281.45,201684.98,168070.85,33614.13
"WORTMAN-MEYER PROPERTIES, LLC",141002719,Effingham,5,8695782.34,8030277.84,665504.5,2617817,1952312.06,665504.94,199652.02,166376.71,33275.31
"WORTMAN-MEYER PROPERTIES, LLC",140702620,Harrisburg,5,6303326.38,5829984.1,473342.28,1651635,1178292.72,473342.28,142003.43,118336.2,23667.23
Woz-Ken Inc.,160701245,West Peoria,5,3874252.62,3565849.78,308402.84,1222398,913995.16,308402.84,92521.43,77101.2,15420.23
Woz-Ken Inc.,160701752,Bartonville,5,3950915.78,3629117.08,321798.7,1239687,917887.85,321799.15,96540.13,80450.13,16090
"WOZ-KEN, INC.",160703469,Peoria,2,633191.83,584411.72,48780.11,199315,150534.89,48780.11,14634.08,12195.07,2439.01
WS HOSPITALITY GROUP INC.,150703434,Crest Hill,5,1049147.39,962925.96,86221.43,340420,254198.77,86221.23,25866.79,21555.65,4311.14
"WSB, INC.",120701186,Joliet,5,3617029.56,3314645.3,302384.26,1204038,901653.67,302384.33,90715.88,75596.6,15119.28
"WW Ventures, LLC",170701508,West Peoria,4,1044390.8,974045.5,70345.3,389821,319475.7,70345.3,21103.9,17586.61,3517.29
"WWP Investments, L.L.C.",140700990,Pekin,5,7383393.98,6797741.56,585652.42,2136543,1550842.15,585700.85,175710.92,146425.79,29285.13
Wyatt Ventures Inc.,120701254,Sandwich,5,2724390.37,2499751.99,224638.38,855680,631041.62,224638.38,67392.14,56160.14,11232
"WYE KNOT TAVERN, INC.",130702091,Hancock County,4,2066840.17,1903506.3,163333.87,509952,346618.13,163333.87,49000.5,40833.77,8166.73
"Wyoming Legion Post #91, Inc.",150902281,Wyoming,3,322410.14,295233.94,27176.2,101534,74357.65,27176.35,8153.12,6794.3,1358.82
X - Adelphia L.L.C.,150704188,Elk Grove Village,4,2982549.28,2729570.29,252978.99,978910,725931.01,252978.99,75894.15,63245.15,12649
Xando Inc.,170700930,Hickory Hills,5,1895360.99,1743212.45,152148.54,648029,495880.43,152148.57,45645.17,38037.67,7607.5
"Xiomara & Kamotas, Inc.",130704109,Alsip,5,1157607.08,1060124.72,97482.36,379038,281555.59,97482.41,29245.38,24371.19,4874.19
"Y-Zoe's, LLC",140704444,Taylorville,5,3276881.73,3011431.97,265449.76,1051291,785841.32,265449.68,79635.43,66362.88,13272.55
"Yacko's of Niles, Inc.",160702009,Niles,5,3671483.14,3404878.89,266604.25,1127439,860835,266604,79981.82,66651.53,13330.29
"Yaw Investments, Inc.",180700676,Arcola,5,459776.72,423359.99,36416.73,149690,113273.02,36416.98,10925.26,9104.39,1820.87
"Ybarra-Gomez Post 8890, Veterans of Foreign Wars of the United States",170902545,East Moline,3,18000.11,15436.8,2563.31,7604,5040.69,2563.31,769.06,640.88,128.18
"YE OLDE UNDERGROUND INN, LTD.",120706174,Princeton,5,2185714.13,2025141.97,160572.16,713529,552956.84,160572.16,48172.05,40143.38,8028.67
"Ye Zi, Inc.",160700407,Loves Park,5,1094807.29,1005202.72,89604.57,371573,281968.42,89604.58,26881.97,22401.65,4480.32
"YELLOW BRICK ROAD BARS, INC.",160700631,Sauget,5,7735934.02,7117620.65,618313.37,1907300,1289168.63,618131.37,185440.17,154533.49,30906.68
"Yesterday's Bar & Grill, Inc.",120702231,Pekin,3,257432.71,239558.15,17874.56,103460,85585.44,17874.56,5362.65,4468.89,893.76
YO CHO HENRICHS,120707829,Litchfield,5,1384930.05,1287154.17,97775.88,563728,465952.12,97775.88,29333.02,24444.2,4888.82
"Yo, Mook & Con, LLC",120706038,Crete,5,1708097.5,1564565.73,143531.77,507613,364081.23,143531.77,43060.03,35883.35,7176.68
Yogibapa LLC,140703344,Caseyville,5,5257832.15,4837306.67,420525.48,1440410,1019884.52,420525.48,126158.29,105131.94,21026.35
Yolanda Schuttler,130705686,Quincy,3,1144076.38,1059389.34,84687.04,344521,259833.96,84687.04,25406.44,21172.05,4234.39
"Yongxin Enterprises, Inc.",160700932,Sesser,5,2284324.08,2089452.74,194871.34,710687,515815.66,194871.34,58462.15,48718.46,9743.69
Yorkville Moose Lodge #2371,120801176,Yorkville,5,1638044.07,1503320.62,134723.45,527432,392708.55,134723.45,40417.93,33681.62,6736.31
"Your Mother, Inc.",120707735,Ivesdale,4,1129919,1046367.47,83551.53,367371,283819.47,83551.53,25065.96,20888.3,4177.66
"Yue-Sun, Inc.",130702659,Wood Dale,3,982255.48,908972.82,73282.66,234935,161652.34,73282.66,21985.41,18321.17,3664.24
Yvonne M. Ness,130704681,Lake County,5,2812830.72,2576262.02,236568.7,843512,606943.3,236568.7,70971.1,59142.59,11828.51
"Z-J ENTERPRISES, INC.",160703740,Forest Park,5,2108142.14,1934406.98,173735.16,947476,773740.84,173735.16,52121.08,43434.26,8686.82
